"TIME (Europe/Istanbul)","binance","binance","bittrex","bittrex","bitfinex","bitfinex"
"2023-06-19 12:11:00",32.97810000000002,-130.92950000000002,0,0,0,-0.002
"2023-06-19 12:12:00",33.459399999999995,-162.17419999999987,0,0,0.19031914,-2.9144067199999997
"2023-06-19 12:13:00",13.430799999999998,-12.469000000000001,0,0,4,0
"2023-06-19 12:14:00",8.471100000000003,-198.60420000000008,0,0,0.00421111,-0.153932
"2023-06-19 12:15:00",26.80539999999999,-130.56550000000018,0,0,0,-0.002
"2023-06-19 12:16:00",11.807199999999995,-11.531399999999996,0,0,0,0
"2023-06-19 12:17:00",16.1932,-3.8624999999999994,0,0,0,0
"2023-06-19 12:18:00",3.3750999999999998,-119.60479999999998,0,0,0.01569864,0
"2023-06-19 12:19:00",182.71040000000005,-701.7300000000005,0,0,0,-37.359115390000014
"2023-06-19 12:20:00",97.50460000000004,-131.86260000000001,0,0,0,-0.37593851
"2023-06-19 12:21:00",173.2462000000001,-20.427300000000006,0,0,0.08475711999999999,0
"2023-06-19 12:22:00",33.70169999999999,-64.84410000000003,0,0,0.834402,0
"2023-06-19 12:23:00",45.03179999999999,-30.160099999999996,0,0,3.2019554299999995,0
"2023-06-19 12:24:00",32.3877,-38.079100000000025,0,0,0.18146396,0
"2023-06-19 12:25:00",24.982999999999993,-50.95250000000002,0,0,0.65766618,0
"2023-06-19 12:26:00",34.710699999999996,-21.7707,0,0,11.006000000000002,0
"2023-06-19 12:27:00",26.692199999999996,-12.041,0,0,2.3872999999999998,0
"2023-06-19 12:28:00",116.32269999999995,-124.77530000000002,0,0,0.17659252,0
"2023-06-19 12:29:00",2.8833000000000015,-13.033999999999995,0,0,0.00634394,0
"2023-06-19 12:30:00",1.3674999999999997,-11.0199,0,0,0,-0.060200000000000004
"2023-06-19 12:31:00",7.358800000000001,-10.970299999999998,0,0,0.00317128,0
"2023-06-19 12:32:00",16.790699999999994,-22.204399999999993,0,0,0.0313809,0
"2023-06-19 12:33:00",2.306900000000001,-110.7459,0,0,1.1292817000000002,0
"2023-06-19 12:34:00",1.2534,-14.807899999999998,0,0,0.02047,-0.0105
"2023-06-19 12:35:00",14.524799999999999,-4.118799999999999,0,-0.00003415,0,0
"2023-06-19 12:36:00",64.24750000000002,-130.79369999999994,0,0,2,0
"2023-06-19 12:37:00",5.222599999999999,-48.972200000000015,0,0,0,0
"2023-06-19 12:38:00",14.961,-45.0453,0,0,0,0
"2023-06-19 12:39:00",3.7316000000000003,-19.362199999999998,0,0,0.02526544,0
"2023-06-19 12:40:00",1.8860999999999994,-45.560100000000006,0,0,0.00587932,0
"2023-06-19 12:41:00",15.595899999999997,-8.697200000000002,0,0,0,0
"2023-06-19 12:42:00",4.642100000000001,-8.114300000000002,0,0,0.02599593,0
"2023-06-19 12:43:00",34.426000000000016,-72.2419,0,-0.54697232,0.02535763,0
"2023-06-19 12:44:00",17.2629,-76.14729999999997,0,0,0,0
"2023-06-19 12:45:00",7.4319,-14.881399999999998,0,0,0.00368997,0
"2023-06-19 12:46:00",11.227199999999998,-21.7434,0,0,0,0
"2023-06-19 12:47:00",9.268,-11.983199999999995,0,0,0.00417752,0
"2023-06-19 12:48:00",2.2486999999999995,-73.69790000000002,0,0,0.00485758,0
"2023-06-19 12:49:00",2.195899999999999,-3.1112000000000006,0,0,0,0
